Condition,Sample,Date,Worm,Sum_vol,Sum_IntDen,Media_Mean,Media_StdDev
control,control - octubre-27-20,octubre-27-20,results_of_001.nd2.xls,94227604352,4804784,2140.6008583690987,506.90557939914163
control,control - octubre-27-20,octubre-27-20,results_of_002.nd2.xls,134585958544,6954950,2152.245341614907,470.9875776397516
control,control - octubre-27-20,octubre-27-20,results_of_003.nd2.xls,156421310176,8234323,2173.0825958702067,496.9174041297935
control,control - octubre-27-20,octubre-27-20,results_of_004.nd2.xls,134978210240,7029872,2147.404605263158,482.6842105263158
control,control - octubre-27-20,octubre-27-20,results_of_005.nd2.xls,159428574240,8524806,2178.529069767442,486.6337209302326
control,control - octubre-27-20,octubre-27-20,results_of_006.nd2.xls,73525424688,3752190,2135.7056074766356,469.72429906542055
control,control - octubre-27-20,octubre-27-20,results_of_007.nd2.xls,163176758208,8407956,2122.8970588235293,460.6264705882353
control,control - octubre-27-20,octubre-27-20,results_of_008.nd2.xls,146397097024,7555898,2098.090625,439.071875
control,control - octubre-27-20,octubre-27-20,results_of_009.nd2.xls,255050850944,11723397,1891.115124153499,366.07674943566593
control,control - octubre-27-20,octubre-27-20,results_of_010.nd2.xls,182353513616,9546329,2129.382089552239,465.45671641791046
control,control - octubre-27-20,octubre-27-20,results_of_011.nd2.xls,151670705056,7970027,2140.1345565749234,463.16207951070334
control,control - octubre-27-20,octubre-27-20,results_of_012.nd2.xls,126958839440,6680528,2185.6102236421725,482.22683706070285
smn-1,smn-1 - octubre-27-20,octubre-27-20,results_of_013.nd2.xls,26455206320,1146797,1846.092105263158,268.30263157894734
smn-1,smn-1 - octubre-27-20,octubre-27-20,results_of_014.nd2.xls,15995157776,708297,1891.9074074074074,276.1296296296296
smn-1,smn-1 - octubre-27-20,octubre-27-20,results_of_015.nd2.xls,8978208416,395187,1882.8095238095239,279.0952380952381
smn-1,smn-1 - octubre-27-20,octubre-27-20,results_of_016.nd2.xls,22924939856,1056454,1954.5747126436781,330.264367816092
smn-1,smn-1 - octubre-27-20,octubre-27-20,results_of_017.nd2.xls,11244552240,514288,1957.5,343.6458333333333
smn-1,smn-1 - octubre-27-20,octubre-27-20,results_of_018.nd2.xls,6624697408,316480,2003.5555555555557,343.3703703703704
smn-1,smn-1 - octubre-27-20,octubre-27-20,results_of_019.nd2.xls,5230024272,238223,1945.1666666666667,336.7916666666667
smn-1,smn-1 - octubre-27-20,octubre-27-20,results_of_020.nd2.xls,15472155264,715135,1971.016129032258,338.9032258064516
smn-1,smn-1 - octubre-27-20,octubre-27-20,results_of_021.nd2.xls,16561743680,802540,2020.3181818181818,380.1212121212121
smn-1,smn-1 - octubre-27-20,octubre-27-20,results_of_022.nd2.xls,18130750816,798284,1876.9714285714285,267.6
smn-1,smn-1 - octubre-27-20,octubre-27-20,results_of_023.nd2.xls,17084746016,771151,1922.1846153846154,305.15384615384613
smn-1,smn-1 - octubre-27-20,octubre-27-20,results_of_024.nd2.xls,8368038832,381870,1975.0833333333333,343.19444444444446
smn-1,smn-1 - octubre-27-20,octubre-27-20,results_of_027.nd2.xls,125259082256,6064143,1999.0753424657535,368.8595890410959
